,unique_key,date,arrest,domestic,community_area,longitude,latitude,year
280,1162,2001-10-20 03:47:00+00:00,False,False,6.0,-87.652903963,41.940514379,2001
281,20090,2011-10-08 01:21:00+00:00,False,False,6.0,-87.669026526,41.953462691,2011
282,20245,2012-01-11 23:00:00+00:00,True,True,6.0,-87.646666855,41.948707142,2012
283,3990,2007-03-10 06:56:00+00:00,True,False,6.0,-87.651871061,41.946389104,2007
284,20300,2012-03-06 00:08:00+00:00,True,True,6.0,-87.64501481,41.945088611,2012
285,1334,2002-01-19 09:40:00+00:00,False,False,6.0,-87.647905229,41.953552585,2002
286,3667,2006-07-03 01:44:00+00:00,True,False,6.0,-87.653211667,41.939920707,2006
287,3991,2007-03-10 06:56:00+00:00,True,False,6.0,-87.651871061,41.946389104,2007
288,2228,2003-06-22 03:35:00+00:00,True,False,6.0,-87.669021112,41.953276054,2003
289,4801,2008-10-15 16:10:00+00:00,True,False,6.0,-87.663601923,41.933639896,2008
290,20046,2011-09-03 01:23:00+00:00,False,False,7.0,-87.657161147,41.928947949,2011
291,19163,2009-11-08 04:38:00+00:00,True,False,7.0,-87.667453883,41.92158772,2009
292,19823,2011-03-29 08:11:00+00:00,True,False,7.0,-87.652311296,41.925398449,2011
293,1189,2001-11-02 22:10:00+00:00,True,False,7.0,-87.678838606,41.931535128,2001
294,1516,2002-06-02 03:20:00+00:00,True,False,7.0,-87.67881883,41.930953241,2002
295,2045,2003-03-12 09:55:00+00:00,True,False,7.0,-87.659176493,41.92775783,2003
296,1418,2002-03-30 15:05:00+00:00,True,False,7.0,-87.678827358,41.931197525,2002
297,2335,2003-08-19 16:30:00+00:00,True,False,7.0,-87.642709079,41.923719259,2003
298,1322,2002-01-05 05:51:00+00:00,True,False,8.0,-87.64250581,41.903726336,2002
299,2191,2003-05-31 16:55:00+00:00,True,False,8.0,-87.639055705,41.906507389,2003
300,20378,2012-04-19 00:01:00+00:00,False,False,8.0,-87.640888264,41.906899902,2012
301,4203,2007-08-17 01:54:00+00:00,True,False,8.0,-87.638838917,41.906511566,2007
302,2110,2003-04-20 05:22:00+00:00,True,False,8.0,-87.634638401,41.893179294,2003
303,3232,2005-07-08 20:25:00+00:00,True,False,8.0,-87.640674736,41.904563274,2005
304,21563,2014-09-18 21:52:00+00:00,True,False,8.0,-87.640858621,41.905903568,2014
305,23938,2018-05-13 17:43:00+00:00,False,False,8.0,-87.629175344,41.896664035,2018
306,21633,2014-11-09 03:31:00+00:00,False,False,8.0,-87.637240716,41.898411891,2014
307,23873,2018-03-23 02:42:00+00:00,True,False,8.0,-87.628021535,41.89036442,2018
308,24444,2019-03-23 03:50:00+00:00,True,False,8.0,-87.631214259,41.895287937,2019
309,4697,2008-08-18 04:14:00+00:00,False,False,8.0,-87.631554159,41.892422287,2008
310,2385,2003-09-12 03:30:00+00:00,True,False,8.0,-87.633144732,41.892399066,2003
311,3017,2005-01-08 03:15:00+00:00,True,False,8.0,-87.649445039,41.908880377,2005
312,3016,2005-01-08 03:15:00+00:00,True,False,8.0,-87.649445039,41.908880377,2005
313,23510,2017-08-13 00:32:00+00:00,True,False,8.0,-87.63968072,41.907139595,2017
314,3839,2006-10-14 21:35:00+00:00,True,False,8.0,-87.638396561,41.904958399,2006
315,2501,2003-11-19 00:01:00+00:00,True,False,8.0,-87.64812943,41.905483409,2003
316,3591,2006-05-12 03:57:00+00:00,True,False,8.0,-87.639211587,41.89652481,2006
317,22790,2016-09-18 04:50:00+00:00,True,False,8.0,-87.632229413,41.90388908,2016
318,1708,2002-08-27 13:56:00+00:00,True,False,14.0,-87.717715752,41.961072112,2002
319,20775,2013-01-17 05:58:00+00:00,True,True,14.0,-87.739207483,41.969256062,2013
320,1550,2002-06-18 01:22:00+00:00,True,False,14.0,-87.70954648,41.963665201,2002
321,4570,2008-06-13 23:30:00+00:00,False,False,14.0,-87.70501127,41.961209101,2008
322,23625,2017-10-06 14:37:00+00:00,False,False,14.0,-87.718162896,41.96542408,2017
323,4391,2008-01-08 05:29:00+00:00,True,False,14.0,-87.707581501,41.961190208,2008
